tiempo,carga,extension_de_traccion,esfuerzo_de_traccion,deformacion,deformacion_media,desplazamiento_deformacion_uno,desplazamiento_deformacion_dos
0,0.15838,0,0.00396,0,0,0.00007,0
0.1,0.8715,0.00531,0.02179,0,0,0.00039,0
0.2,3.08139,0.01547,0.07703,0,0,0.00243,0
0.3,5.63059,0.02453,0.14076,0,0,0.00383,0
0.4,7.4275,0.03359,0.18569,0,0,0.00535,0
0.5,9.51827,0.04125,0.23796,0,0,0.00663,0
0.6,11.57848,0.05031,0.28946,0,0,0.00805,0
0.7,13.54543,0.05828,0.33864,0,0,0.00945,0
0.8,15.6793,0.06672,0.39198,0,0,0.0112,0
0.9,17.31948,0.07484,0.43299,0,0,0.01222,0
1,19.53407,0.08328,0.48835,0,0,0.01399,0
1.1,21.56764,0.09219,0.53919,0,0,0.01518,0
1.2,23.5197,0.09937,0.58799,0,0,0.01648,0
1.3,25.32522,0.10859,0.63313,0,0,0.01816,0
1.4,27.30785,0.11672,0.6827,0,0,0.01944,0
1.5,29.41116,0.12547,0.73528,0,0,0.02108,0
1.6,31.11325,0.13328,0.77783,0,0,0.02239,0
1.7,33.27063,0.14172,0.83177,0,0,0.02387,0
1.8,34.94528,0.15,0.87363,0,0,0.02528,0
1.9,37.27663,0.15797,0.93192,0,0,0.02666,0
2,39.00614,0.16641,0.97515,0,0,28,0
2.1,40.91276,0.17484,1.02282,0,0,0.02948,0
2.2,43.03253,0.18391,1.07581,0,0,0.03102,0
2.3,44.67035,0.19141,1.11676,0,0,0.03221,0
2.4,47.09652,0.20016,1.17741,0,0,0.03375,0
2.5,48.79939,0.20812,1.21998,0,0,0.0351,0
2.6,50.94972,0.21641,1.27374,0,0,0.03671,0
2.7,52.61654,225,1.31541,0,0,0.03823,0
2.8,54741,0.23297,1.36853,0,0,0.03932,0
2.9,56.56847,0.24219,1.41421,0,0,0.04087,0
3,58.44531,0.24984,1.46113,0,0,0.04208,0
3.1,60.47182,0.25875,1.5118,0,0,0.04374,0
3.2,62.31339,0.26656,1.55783,0,0,0.04499,0
3.3,64.55854,0.27516,1.61396,0,0,0.04658,0
3.4,66.21439,0.28328,1.65536,0,0,0.0478,0
3.5,68.08261,0.29172,1.70207,0,0,0.04961,0
3.6,70.03937,0.3,1.75098,0,0,0.05089,0
3.7,72.11055,0.30781,1.80276,0,0,0.05228,0
3.8,74.21387,0.31719,1.85535,0,0,0.05375,0
3.9,75.67145,0.32453,1.89179,0,0,0.05518,0
4,77.80062,0.33375,1.94502,0,0,0.05661,0
4.1,79.59518,0.34156,1.98988,0,0,0.05791,0
4.2,81.54489,0.35016,2.03862,0,0,0.0595,0
4.3,83.32063,0.35828,2.08302,0,0,0.06079,0
4.4,85.35968,0.36609,2.13399,0,0,0.06234,0
4.5,87.31175,0.37516,2.18279,0,0,0.06375,0
4.6,89.28811,0.38312,2.2322,0,0,0.06546,0
4.7,91.15006,0.39219,2.27875,0,0,0.06682,0
4.8,92.96185,0.39984,2.32405,0,0,0.06804,0
4.9,95.16703,0.40891,2.37918,0,0,0.06962,0
5,96.71082,0.41656,2.41777,0,0,0.07096,0
5.1,98.92071,0.42484,2.47302,0,0,0.07244,0
5.2,100.52718,0.43328,2.51318,0,0,0.07374,0
5.3,102.46985,0.44141,2.56175,0,0,0.07516,0
5.4,104.56375,0.45047,2.61409,0,0,0.07679,0
5.5,106.18747,0.45766,2.65469,0,0,0.07791,0
5.6,108.38795,0.46719,2.7097,0,0,0.07941,0
5.7,110.03675,0.47484,2.75092,0,0,0.08075,0
5.8,112.00606,0.48328,2.80015,0,0,0.08222,0
5.9,113.65798,0.49156,2.84145,0,0,0.08345,0
6,115.70723,0.49984,2.89268,0,0,0.08489,0
6.1,117.5292,0.50875,2.93823,0,0,0.08638,0
6.2,119.57609,0.51594,2.9894,0,0,0.08763,0
6.3,121.26249,0.52531,3.03156,0,0,0.0893,0
6.4,123.32506,0.53312,3.08313,0,0,0.09074,0
6.5,125.19641,0.54203,3.12991,0,0,0.09223,0
6.6,126.68377,0.55,3.16709,0,0,0.0935,0
6.7,128.89993,0.55875,3.2225,0,0,0.09517,0
6.8,130.64197,0.56672,3.26605,0,0,0.09633,0
6.9,132.48277,0.57437,3.31207,0,0,0.09805,0
7,134.49674,0.58359,3.36242,0,0,0.09939,0
7.1,136.36104,0.59125,3.40903,0,0,0.10074,0
7.2,138.34053,0.60062,3.45851,0,0,0.10236,0
7.3,139.82162,0.60797,3.49554,0,0,0.10369,0
7.4,141.98527,0.61703,3.54963,0,0,0.10528,0
7.5,143.92089,0.62516,3.59802,0,0,0.10669,0
7.6,145.78283,0.63281,3.64457,0,0,0.10802,0
7.7,147.50921,0.64156,3.68773,0,0,0.10948,0
7.8,149.39937,0.64969,3.73498,0,0,0.11081,0
7.9,151.25739,0.65859,3.78143,0,0,0.1123,0
8,153.18517,0.66625,3.82963,0,0,0.11367,0
8.1,154.92095,0.67516,3.87302,0,0,0.1151,0
8.2,156.67005,0.68312,3.91675,0,0,0.11665,0
8.3,158.90658,0.69172,3.97266,0,0,0.11833,0
8.4,160.50522,0.69984,4.01263,0,0,0.11964,0
8.5,162.49568,0.70844,4.06239,0,0,0.12138,0
8.6,164.50731,0.71719,4.11268,0,0,0.12284,0
8.7,166.17413,0.72453,4.15435,0,0,0.12429,0
8.8,168.00395,0.73359,4.2001,0,0,0.12549,0
8.9,169.71935,0.74172,4.24298,0,0,0.12723,0
9,171.53742,0.75031,4.28844,0,0,0.12872,0
9.1,173.33353,0.75828,4.33334,0,0,0.12983,0
9.2,175.34124,0.76672,4.38353,0,0,0.13141,0
9.3,177.05351,775,4.42634,0,0,0.13277,0
9.4,178.90448,0.78297,4.47261,0,0,0.13422,0
9.5,180.74213,0.79141,4.51855,0,0,0.13567,0
9.6,182.67932,0.79969,4.56698,0,0,0.13726,0
9.7,184.55536,0.80891,4.61388,0,0,0.13867,0
9.8,186.23237,0.81641,4.65581,0,0,0.14006,0
9.9,188.09354,0.82531,4.70234,0,0,0.14162,0
10,189.70707,0.83312,4.74268,0,0,0.14326,0
10.1,191.79079,0.84141,4.79477,0,0,0.14487,0
10.2,193.6018,0.85,4.84004,0,0,0.14614,0
10.3,195.4614,0.85797,4.88653,0,0,0.14762,0
10.4,197.40798,0.86734,4.9352,0,0,0.14919,0
10.5,198.95253,0.87484,4.97381,0,0,0.15061,0
10.6,200.85289,0.88375,5.02132,0,0,0.15205,0
10.7,202.57847,0.89156,5.06446,0,0,0.15354,0
10.8,204.54936,0.9,5.11373,0,0,0.15504,0
10.9,206.22008,0.90828,5.1555,0,0,0.15655,0
11,208.18547,0.91656,5.20464,0,0,0.15818,0
11.1,209.75748,925,5.24394,0,0,0.15938,0
11.2,211.51048,0.93281,5.28776,0,0,0.16122,0
11.3,213.61066,0.94219,5.34027,0,0,0.16349,0
11.4,215.15838,0.94969,5.37896,0,0,0.16491,0
11.5,217.20603,0.95875,5.43015,0,0,0.16671,0
11.6,218.85326,0.96656,5.47133,0,0,0.16809,0
11.7,220.89076,0.97516,5.52227,0,0,0.1701,0
11.8,222.28016,0.98328,5557,0,0,0.17142,0
11.9,224.35761,0.99109,5.60894,0,0,0.17323,0
12,226.05499,1.00016,5.65137,0,0,0.17466,0
12.1,227.98197,1.00812,5.69955,0,0,0.1764,0
12.2,229.69504,1.01719,5.74238,0,0,0.17787,0
12.3,231.44726,1.02484,5.78618,0,0,0.17943,0
12.4,233.30844,1.03375,5.83271,0,0,0.18087,0
12.5,235.05832,1.04156,5.87646,0,0,0.18223,0
12.6,237.15927,1.04984,5.92898,0,0,0.18398,0
12.7,238.71795,1.05828,5.96795,0,0,0.18532,0
