field_1,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rooms_per_household,bedrooms_per_room,population_per_household,county_name,field_16
"1",-122.23,37.88,"41","880","129","322","126",8.3252,452600,NEAR BAY,6.98412698412698,0.146590909090909,2.55555555555556,Alameda,
"2",-122.22,37.86,"21","7099","1106","2401","1138",8.3014,358500,NEAR BAY,6.23813708260105,0.155796591069165,2.10984182776801,Alameda,
"3",-122.24,37.85,"52","1467","190","496","177",7.2574,352100,NEAR BAY,8.28813559322034,0.129516019086571,2.80225988700565,Alameda,
"4",-122.25,37.85,"52","1274","235","558","219",5.6431,341300,NEAR BAY,5.81735159817352,0.184458398744113,2.54794520547945,Alameda,
"5",-122.25,37.85,"52","1627","280","565","259",3.8462,342200,NEAR BAY,6.28185328185328,0.172095881991395,2.18146718146718,Alameda,
"6",-122.25,37.85,"52","919","213","413","193",4.0368,269700,NEAR BAY,4.76165803108808,0.23177366702938,2.13989637305699,Alameda,
"7",-122.25,37.84,"52","2535","489","1094","514",3.6591,299200,NEAR BAY,4.93190661478599,0.192899408284024,2.1284046692607,Alameda,
"8",-122.25,37.84,"52","3104","687","1157","647",3.12,241400,NEAR BAY,4.79752704791345,0.221327319587629,1.78825347758887,Alameda,
"9",-122.26,37.84,"42","2555","665","1206","595",2.0804,226700,NEAR BAY,4.29411764705882,0.26027397260274,2.02689075630252,Alameda,
"10",-122.25,37.84,"52","3549","707","1551","714",3.6912,261100,NEAR BAY,4.97058823529412,0.199211045364892,2.17226890756303,Alameda,
"11",-122.26,37.85,"52","2202","434","910","402",3.2031,281500,NEAR BAY,5.47761194029851,0.197093551316985,2.2636815920398,Alameda,
"12",-122.26,37.85,"52","3503","752","1504","734",3.2705,241800,NEAR BAY,4.7724795640327,0.214673137310876,2.04904632152589,Alameda,
"13",-122.26,37.85,"52","2491","474","1098","468",3.075,213500,NEAR BAY,5.32264957264957,0.190285026093938,2.34615384615385,Alameda,
"14",-122.26,37.84,"52","696","191","345","174",2.6736,191300,NEAR BAY,4,0.274425287356322,1.98275862068966,Alameda,
"15",-122.26,37.85,"52","2643","626","1212","620",1.9167,159200,NEAR BAY,4.26290322580645,0.2368520620507,1.95483870967742,Alameda,
"16",-122.26,37.85,"50","1120","283","697","264",2.125,140000,NEAR BAY,4.24242424242424,0.252678571428571,2.64015151515152,Alameda,
"17",-122.27,37.85,"52","1966","347","793","331",2.775,152500,NEAR BAY,5.93957703927492,0.176500508646999,2.39577039274924,Alameda,
"18",-122.27,37.85,"52","1228","293","648","303",2.1202,155500,NEAR BAY,4.05280528052805,0.238599348534202,2.13861386138614,Alameda,
"19",-122.26,37.84,"50","2239","455","990","419",1.9911,158700,NEAR BAY,5.3436754176611,0.203215721304154,2.36276849642005,Alameda,
